"","coords","all","natural","current","threatened","missing"
"13516","11530109.5305556_-614102.014084507",6,5,3,1,1
"13517","11626595.8027778_-614102.014084507",6,5,3,1,1
"13518","11723082.075_-614102.014084507",7,6,5,3,0
"13519","11819568.3472222_-614102.014084507",8,7,6,4,0
"13520","11916054.6194444_-614102.014084507",7,6,5,3,1
"13521","12494972.2527778_-614102.014084507",1,0,1,0,0
"13522","12591458.525_-614102.014084507",1,0,1,0,0
"13523","12687944.7972222_-614102.014084507",1,0,1,0,0
"13524","12784431.0694444_-614102.014084507",1,0,1,0,0
"13525","13073889.8861111_-614102.014084507",1,0,1,0,0
"13526","13170376.1583333_-614102.014084507",1,0,1,0,0
"13527","13266862.4305556_-614102.014084507",2,1,1,0,0
"13528","13363348.7027778_-614102.014084507",6,5,1,0,0
"13529","13459834.975_-614102.014084507",5,4,1,0,0
"13530","13556321.2472222_-614102.014084507",5,4,1,0,0
"13531","13652807.5194444_-614102.014084507",5,4,1,0,0
"13532","13749293.7916667_-614102.014084507",5,4,1,0,0
"13533","13845780.0638889_-614102.014084507",5,4,1,0,0
"13534","13942266.3361111_-614102.014084507",5,4,1,0,0
"13535","14038752.6083333_-614102.014084507",1,0,1,0,0
"13536","14135238.8805556_-614102.014084507",1,0,1,0,0
"13537","14424697.6972222_-614102.014084507",1,0,1,0,0
"13538","14521183.9694444_-614102.014084507",1,0,1,0,0
"13539","14617670.2416667_-614102.014084507",1,0,1,0,0
"13540","14714156.5138889_-614102.014084507",2,1,2,0,0
"13541","14810642.7861111_-614102.014084507",2,1,2,0,0
"13542","14907129.0583333_-614102.014084507",1,0,1,0,0
"13543","15003615.3305556_-614102.014084507",1,0,1,0,0
"13544","15389560.4194444_-614102.014084507",1,0,1,0,0
"13545","-7863631.18611111_-710616.971830986",6,5,4,0,2
"13546","-7767144.91388889_-710616.971830986",8,7,6,0,2
"13547","-7670658.64166667_-710616.971830986",14,13,10,5,1
"13548","-7574172.36944444_-710616.971830986",21,20,14,7,2
"13549","-7477686.09722222_-710616.971830986",30,29,15,7,2
"13550","-7381199.825_-710616.971830986",31,30,16,7,2
"13551","-7284713.55277778_-710616.971830986",28,27,15,6,0
"13552","-7188227.28055556_-710616.971830986",28,27,15,6,0
"13553","-7091741.00833333_-710616.971830986",27,26,14,6,0
"13554","-6995254.73611111_-710616.971830986",27,26,14,6,0
"13555","-6898768.46388889_-710616.971830986",28,27,14,6,0
"13556","-6802282.19166667_-710616.971830986",29,28,14,6,0
"13557","-6705795.91944444_-710616.971830986",30,29,14,6,0
"13558","-6609309.64722222_-710616.971830986",30,29,14,6,0
"13559","-6512823.375_-710616.971830986",30,29,14,6,0
"13560","-6416337.10277778_-710616.971830986",30,29,14,6,0
"13561","-6319850.83055556_-710616.971830986",31,30,14,6,0
"13562","-6223364.55833333_-710616.971830986",26,25,14,6,0
"13563","-6126878.28611111_-710616.971830986",25,24,13,5,0
"13564","-6030392.01388889_-710616.971830986",32,31,13,5,0
"13565","-5933905.74166667_-710616.971830986",32,31,13,5,0
"13566","-5837419.46944444_-710616.971830986",33,32,13,5,0
"13567","-5740933.19722222_-710616.971830986",33,32,13,5,0
"13568","-5644446.925_-710616.971830986",33,32,13,5,0
"13569","-5547960.65277778_-710616.971830986",35,34,13,5,0
"13570","-5451474.38055556_-710616.971830986",39,38,13,5,0
"13571","-5354988.10833333_-710616.971830986",39,38,13,5,0
"13572","-5258501.83611111_-710616.971830986",39,38,13,5,0
"13573","-5162015.56388889_-710616.971830986",42,41,13,5,1
"13574","-5065529.29166667_-710616.971830986",46,45,13,5,1
"13575","-4969043.01944445_-710616.971830986",45,44,13,5,1
"13576","-4872556.74722222_-710616.971830986",45,44,13,5,1
"13577","-4776070.475_-710616.971830986",45,44,13,5,1
"13578","-4679584.20277778_-710616.971830986",43,42,12,4,0
"13579","-4583097.93055556_-710616.971830986",44,43,13,4,0
"13580","-4486611.65833333_-710616.971830986",44,43,13,4,0
"13581","-4390125.38611111_-710616.971830986",45,44,14,4,0
"13582","-4293639.11388889_-710616.971830986",38,37,11,3,1
"13583","-4197152.84166667_-710616.971830986",36,35,10,3,1
"13584","-4100666.56944444_-710616.971830986",36,35,10,3,1
"13585","-4004180.29722222_-710616.971830986",37,36,10,3,2
"13586","-3907694.025_-710616.971830986",33,32,7,1,5
